id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338534347968827397,2020-12-14 17:20:31,my everything.,b'my everything.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338534121207951363,2020-12-14 17:19:37,ahhhhh,b'ahhhhh',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
1338362394419007491,2020-12-14 05:57:15,just gonna plagiarize at this point lol.,b'just gonna plagiarize at this point lol.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338361801394835461,2020-12-14 05:54:53,me 24/7:😀👍,b'me 24/7:\xf0\x9f\x98\x80\xf0\x9f\x91\x8d',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,und
1338360416150425600,2020-12-14 05:49:23,"aquarius,aquarius, sagittarius , pisces , and gemini (?) https://t.co/g8VhH7nTEB","b'aquarius,aquarius, sagittarius , pisces , and gemini (?) https://t.co/g8VhH7nTEB'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/g8VhH7nTEB', 'expanded_url': 'https://twitter.com/_mamavirgo/status/1338306603460812802', 'display_url': 'twitter.com/_mamavirgo/sta…', 'indices': [57, 80]}]}",,ca
1338359766893146112,2020-12-14 05:46:48,at this point. https://t.co/zjLiCOpzpb,b'at this point. https://t.co/zjLiCOpzpb',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zjLiCOpzpb', 'expanded_url': 'https://twitter.com/magalyyortizz/status/1338307401523617795', 'display_url': 'twitter.com/magalyyortizz/…', 'indices': [15, 38]}]}",,en
1338359723230457857,2020-12-14 05:46:38,my head hurts.,b'my head hurts.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338359263312433156,2020-12-14 05:44:48,school is a lot.,b'school is a lot.',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338358920360976386,2020-12-14 05:43:26,https://t.co/xXsor3Gosv,b'https://t.co/xXsor3Gosv',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338358917513039874, 'id_str': '1338358917513039874', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpLOWDRXUAI1_VF.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpLOWDRXUAI1_VF.jpg', 'url': 'https://t.co/xXsor3Gosv', 'display_url': 'pic.twitter.com/xXsor3Gosv', 'expanded_url': 'https://twitter.com/luvvdom/status/1338358920360976386/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 827, 'h': 1100, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 827, 'h': 1100, 'resize': 'fit'}, 'small': {'w': 511, 'h': 680, 'resize': 'fit'}}}]}",,und
1338358473466277888,2020-12-14 05:41:40,i just need a little rest dw about me :)),b'i just need a little rest dw about me :))',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
