id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338853662848733186,2020-12-15 14:29:22,fak I hate small talk. I NEED TO MAKE NEW FRIENDS AGAINNNNN,b'fak I hate small talk. I NEED TO MAKE NEW FRIENDS AGAINNNNN',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338853260589846530,2020-12-15 14:27:46,will be meeting my new colleagues over lunch tmr errmmmm I'm nervous lol,"b""will be meeting my new colleagues over lunch tmr errmmmm I'm nervous lol""","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338849999065501696,2020-12-15 14:14:49,@storybehindme All the besssst!! 😊 ano name ilike ko sa ig/fb hehe,b'@storybehindme All the besssst!! \xf0\x9f\x98\x8a ano name ilike ko sa ig/fb hehe',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'storybehindme', 'name': 'Misty', 'id': 2955696612, 'id_str': '2955696612', 'indices': [0, 14]}], 'urls': []}",,tl
1338849760489340928,2020-12-15 14:13:52,hindi ko naman talaga kailangan ang galaxy lights and customised neon signage sa kwarto ko pero BAKIT AKO BUMILI 🥴,b'hindi ko naman talaga kailangan ang galaxy lights and customised neon signage sa kwarto ko pero BAKIT AKO BUMILI \xf0\x9f\xa5\xb4',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338829090992713728,2020-12-15 12:51:44,@/parentz naman oh hahahahah,b'@/parentz naman oh hahahahah',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338829011892412416,2020-12-15 12:51:25,"kapag birthday mo malapit sa late dec to early jan, minsan iniisa na lang yung christmas tsaka bday gift 🥲😂","b'kapag birthday mo malapit sa late dec to early jan, minsan iniisa na lang yung christmas tsaka bday gift \xf0\x9f\xa5\xb2\xf0\x9f\x98\x82'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338801208912355328,2020-12-15 11:00:56,@chiyosnozaki words of wisdom ba yan ni master nozaki hahahaha jk,b'@chiyosnozaki words of wisdom ba yan ni master nozaki hahahaha jk',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chiyosnozaki', 'name': 'jen', 'id': 1179798696696762368, 'id_str': '1179798696696762368', 'indices': [0, 13]}], 'urls': []}",,tl
1338800303005528070,2020-12-15 10:57:20,bumili akong six albums ng nct resonance pt 2. apat bubuksan ko. SANA MAY RENJUN PHOTOCARD NA EH NO,b'bumili akong six albums ng nct resonance pt 2. apat bubuksan ko. SANA MAY RENJUN PHOTOCARD NA EH NO',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,tl
1338799365981229056,2020-12-15 10:53:37,hindi ako makapili between addiesel and ryokie uwu,b'hindi ako makapili between addiesel and ryokie uwu',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,in
1338799229565714433,2020-12-15 10:53:04,@kai_gz01 naglive kanina si donny sa kumu hahahaha,b'@kai_gz01 naglive kanina si donny sa kumu hahahaha',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kai_gz01', 'name': 'Gab', 'id': 2172144625, 'id_str': '2172144625', 'indices': [0, 9]}], 'urls': []}",,tl
