id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338593961905188866,2020-12-14 21:17:25,@Vivsss_ We love to see it 🙌🏿🙌🏿🙏🏿🙏🏿👏🏿👏🏿,b'@Vivsss_ We love to see it \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Vivsss_', 'name': '𝕍 ✨', 'id': 843912692, 'id_str': '843912692', 'indices': [0, 8]}], 'urls': []}",,en
1338559061646774280,2020-12-14 18:58:44,@badb_aleena 🙏🏿🙏🏿🙏🏿🙏🏿,b'@badb_aleena \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'badb_aleena', 'name': 'jada stan account', 'id': 964541113183948801, 'id_str': '964541113183948801', 'indices': [0, 12]}], 'urls': []}",,und
1338559033129791497,2020-12-14 18:58:37,@ajmacgregor Come on sis 🙏🏿🙌🏿,b'@ajmacgregor Come on sis \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ajmacgregor', 'name': 'AJ', 'id': 435714083, 'id_str': '435714083', 'indices': [0, 12]}], 'urls': []}",,en
1338515581407010818,2020-12-14 16:05:57,Love bro! I appreciate that honestly! If you’re about in ends a gym session is needed,b'Love bro! I appreciate that honestly! If you\xe2\x80\x99re about in ends a gym session is needed',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338511983256145921,2020-12-14 15:51:39,During my lowest this year I stopped eating for weeks and went from 99kg in March to 83kg in August. Stepped on the scales for the first time since then and I’m back up to 92kg 🙏🏿🙏🏿🙏🏿,b'During my lowest this year I stopped eating for weeks and went from 99kg in March to 83kg in August. Stepped on the scales for the first time since then and I\xe2\x80\x99m back up to 92kg \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338511326759383041,2020-12-14 15:49:03,"@whoswhooo Nah they’re not, reduced training times and capacity","b'@whoswhooo Nah they\xe2\x80\x99re not, reduced training times and capacity'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'whoswhooo', 'name': 'Health and Fitness', 'id': 382035067, 'id_str': '382035067', 'indices': [0, 10]}], 'urls': []}",,en
1338466680234799104,2020-12-14 12:51:38,Why are there numbers on this pi?? https://t.co/QZJWdrrzBx,b'Why are there numbers on this pi?? https://t.co/QZJWdrrzBx',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QZJWdrrzBx', 'expanded_url': 'https://twitter.com/dk8sam/status/1338063762721394688', 'display_url': 'twitter.com/dk8sam/status/…', 'indices': [35, 58]}]}",,en
1338455668383232004,2020-12-14 12:07:53,@2wenty4s I was thinking my maps and email are bugging,b'@2wenty4s I was thinking my maps and email are bugging',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '2wenty4s', 'name': 'Sasuke \U0001f977🏾', 'id': 983628325557014529, 'id_str': '983628325557014529', 'indices': [0, 9]}], 'urls': []}",,en
1338449852024414208,2020-12-14 11:44:46,😂😂😂😂😂😂😂 https://t.co/yNTZErBJlB,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/yNTZErBJlB',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/yNTZErBJlB', 'expanded_url': 'https://twitter.com/not_motd/status/1338420626772664321', 'display_url': 'twitter.com/not_motd/statu…', 'indices': [8, 31]}]}",,und
1338449714489012224,2020-12-14 11:44:13,"Gaslighting, micro aggressions at its absolute finest and Paris held her own exceptionally well. This is the sort of thing black people experience daily when we are not the aggressors https://t.co/aPPtKBFB52","b'Gaslighting, micro aggressions at its absolute finest and Paris held her own exceptionally well. This is the sort of thing black people experience daily when we are not the aggressors https://t.co/aPPtKBFB52'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aPPtKBFB52', 'expanded_url': 'https://twitter.com/E4Chelsea/status/1335923009115226113', 'display_url': 'twitter.com/E4Chelsea/stat…', 'indices': [184, 207]}]}",,en
1338449240222294016,2020-12-14 11:42:20,Everyday on this app it’s “black men this” “black women that” what is going on with my people 😒😒😒,b'Everyday on this app it\xe2\x80\x99s \xe2\x80\x9cblack men this\xe2\x80\x9d \xe2\x80\x9cblack women that\xe2\x80\x9d what is going on with my people \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338447813450092544,2020-12-14 11:36:40,"Some could argue whether these are rigged or not...Barca vs PSG again...Bayern, City, Juve &amp; Real on paper have the easiest rounds https://t.co/zEPT2galqY","b'Some could argue whether these are rigged or not...Barca vs PSG again...Bayern, City, Juve &amp; Real on paper have the easiest rounds https://t.co/zEPT2galqY'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zEPT2galqY', 'expanded_url': 'https://twitter.com/btsportfootball/status/1338446657852239875', 'display_url': 'twitter.com/btsportfootbal…', 'indices': [135, 158]}]}",,en
1338444903085465605,2020-12-14 11:25:06,🥲🥲🥲🥲🥲  severe pain https://t.co/z5mWScFmPy,b'\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2  severe pain https://t.co/z5mWScFmPy',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/z5mWScFmPy', 'expanded_url': 'https://twitter.com/ChampionsLeague/status/1338443638389542915', 'display_url': 'twitter.com/ChampionsLeagu…', 'indices': [19, 42]}]}",,en
