id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338815951790170113,2020-12-15 11:59:31,RT @funayfunay: still open for a slot or two!,b'RT @funayfunay: still open for a slot or two!',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'funayfunay', 'name': 'funay🐣💡@ open commission!', 'id': 479494415, 'id_str': '479494415', 'indices': [3, 14]}], 'urls': []}",,en
1338806934493749249,2020-12-15 11:23:41,https://t.co/3xZTj8ovLF,b'https://t.co/3xZTj8ovLF',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338806928034603009, 'id_str': '1338806928034603009', 'indices': [0, 23], 'media_url': 'http://pbs.twimg.com/media/EpRlzshVoAE3IjS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpRlzshVoAE3IjS.jpg', 'url': 'https://t.co/3xZTj8ovLF', 'display_url': 'pic.twitter.com/3xZTj8ovLF', 'expanded_url': 'https://twitter.com/sheebsheeb_/status/1338806934493749249/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 567, 'h': 380, 'resize': 'fit'}, 'large': {'w': 567, 'h': 380, 'resize': 'fit'}, 'medium': {'w': 567, 'h': 380, 'resize': 'fit'}}}]}",,und
1338675968089714693,2020-12-15 02:43:16,i still seriously consider to end,b'i still seriously consider to end',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338673980232802304,2020-12-15 02:35:22,maybe i should rewatch saiki k haha lol,b'maybe i should rewatch saiki k haha lol',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338670323873419266,2020-12-15 02:20:51,now that i finished playing aa .....how to keep going :) https://t.co/wmVu5Xk9BM,b'now that i finished playing aa .....how to keep going :) https://t.co/wmVu5Xk9BM',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338670316390739973, 'id_str': '1338670316390739973', 'indices': [57, 80], 'media_url': 'http://pbs.twimg.com/media/EpPpj2fUcAUXMnD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpPpj2fUcAUXMnD.jpg', 'url': 'https://t.co/wmVu5Xk9BM', 'display_url': 'pic.twitter.com/wmVu5Xk9BM', 'expanded_url': 'https://twitter.com/sheebsheeb_/status/1338670323873419266/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 675, 'resize': 'fit'}, 'large': {'w': 749, 'h': 743, 'resize': 'fit'}, 'medium': {'w': 749, 'h': 743, 'resize': 'fit'}}}]}",,en
1338669538108293120,2020-12-15 02:17:43,@helohallu YAKAAAAAANNNNNNNN fav bgt,b'@helohallu YAKAAAAAANNNNNNNN fav bgt',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'helohallu', 'name': 'L', 'id': 942308105634721792, 'id_str': '942308105634721792', 'indices': [0, 10]}], 'urls': []}",,in
1338669395212599298,2020-12-15 02:17:09,tuhan. https://t.co/gbsDrPTZ7S,b'tuhan. https://t.co/gbsDrPTZ7S',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338319946242088960, 'id_str': '1338319946242088960', 'indices': [7, 30], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338319946242088960/pu/img/EB5oF1G5DsW_5yXj.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338319946242088960/pu/img/EB5oF1G5DsW_5yXj.jpg', 'url': 'https://t.co/gbsDrPTZ7S', 'display_url': 'pic.twitter.com/gbsDrPTZ7S', 'expanded_url': 'https://twitter.com/Dicon_korea/status/1338332888832430083/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1338332888832430083, 'source_status_id_str': '1338332888832430083', 'source_user_id': 963447975291666432, 'source_user_id_str': '963447975291666432'}]}",,in
1338666899941429251,2020-12-15 02:07:14,RT @sunshine_787: just thinking about my trans friend whose indian father wanted his sons to be software engineers and his daughter to be i…,b'RT @sunshine_787: just thinking about my trans friend whose indian father wanted his sons to be software engineers and his daughter to be i\xe2\x80\xa6',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sunshine_787', 'name': 'sunshine • JIN DAY', 'id': 566716538, 'id_str': '566716538', 'indices': [3, 16]}], 'urls': []}",,en
1338666109503819776,2020-12-15 02:04:06,"i wish my mutuals try to play this game too seriously it’s so good i’m not lying
you’ll instantly love the charas and the development seriously",b'i wish my mutuals try to play this game too seriously it\xe2\x80\x99s so good i\xe2\x80\x99m not lying\nyou\xe2\x80\x99ll instantly love the charas and the development seriously',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
1338665756733542400,2020-12-15 02:02:42,"@ugeutsu aku tim seojun, suho sama aku aja","b'@ugeutsu aku tim seojun, suho sama aku aja'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ugeutsu', 'name': 'candy! 👼🏼', 'id': 1187309392099565569, 'id_str': '1187309392099565569', 'indices': [0, 8]}], 'urls': []}",,in
1338665138560278528,2020-12-15 02:00:14,"i love everything about it
the story, the characters, the gameplay, the twists, everything!😭
i still can’t believe how everything turned out and i dare to say it was such a beautiful journey indeed!
will definitely replay the game again when i have the chance
12/10 !!!!!!","b'i love everything about it\nthe story, the characters, the gameplay, the twists, everything!\xf0\x9f\x98\xad\ni still can\xe2\x80\x99t believe how everything turned out and i dare to say it was such a beautiful journey indeed!\nwill definitely replay the game again when i have the chance\n12/10 !!!!!!'","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,en
