id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1337924338402529283,2020-12-13 00:56:34,RT @JOONSJJK: THIS IS GETTING HEAVY https://t.co/MDodL3JXFi,b'RT @JOONSJJK: THIS IS GETTING HEAVY https://t.co/MDodL3JXFi',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JOONSJJK', 'name': 'sam⁷ 🏹 joonluvr', 'id': 1006349338132471808, 'id_str': '1006349338132471808', 'indices': [3, 12]}], 'urls': [], 'media': [{'id': 1337824667382378496, 'id_str': '1337824667382378496', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EpDocmcU8AAI4e8.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpDocmcU8AAI4e8.jpg', 'url': 'https://t.co/MDodL3JXFi', 'display_url': 'pic.twitter.com/MDodL3JXFi', 'expanded_url': 'https://twitter.com/JOONSJJK/status/1337824671979335680/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 559, 'h': 680, 'resize': 'fit'}, 'large': {'w': 770, 'h': 936, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 770, 'h': 936, 'resize': 'fit'}}, 'source_status_id': 1337824671979335680, 'source_status_id_str': '1337824671979335680', 'source_user_id': 1006349338132471808, 'source_user_id_str': '1006349338132471808'}]}",,en
1337256268910620672,2020-12-11 04:41:54,RT @GirlWithLuv24: @bts_bighit minimoni 🐥🐨 https://t.co/vVQHw1flE7,b'RT @GirlWithLuv24: @bts_bighit minimoni \xf0\x9f\x90\xa5\xf0\x9f\x90\xa8 https://t.co/vVQHw1flE7',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GirlWithLuv24', 'name': 'ᴮᴱBTS PICS⁷', 'id': 1120163438817239040, 'id_str': '1120163438817239040', 'indices': [3, 17]}, {'screen_name': 'bts_bighit', 'name': 'BTS_official', 'id': 1409798257, 'id_str': '1409798257', 'indices': [19, 30]}], 'urls': [], 'media': [{'id': 1337249881014996992, 'id_str': '1337249881014996992', 'indices': [43, 66], 'media_url': 'http://pbs.twimg.com/media/Eo7droXVEAAaY6m.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo7droXVEAAaY6m.jpg', 'url': 'https://t.co/vVQHw1flE7', 'display_url': 'pic.twitter.com/vVQHw1flE7', 'expanded_url': 'https://twitter.com/GirlWithLuv24/status/1337249894344486913/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1918, 'h': 1080, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}}, 'source_status_id': 1337249894344486913, 'source_status_id_str': '1337249894344486913', 'source_user_id': 1120163438817239040, 'source_user_id_str': '1120163438817239040'}]}",,it
1335127933262807040,2020-12-05 07:44:39,"@OT7STAN_ hellooo, have a pretty day☀️☀️","b'@OT7STAN_ hellooo, have a pretty day\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OT7STAN_', 'name': 'ًNOGI⁷', 'id': 1254039637028372480, 'id_str': '1254039637028372480', 'indices': [0, 9]}], 'urls': []}",,en
1335126623931142145,2020-12-05 07:39:27,@philocalytae I will die if they do🥺🥺,b'@philocalytae I will die if they do\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'philocalytae', 'name': '\u200e \u200eᵕ̈ aly ⁷♡’s mary 📚', 'id': 738787074237730816, 'id_str': '738787074237730816', 'indices': [0, 13]}], 'urls': []}",,en
1335126195898224640,2020-12-05 07:37:45,"RT @SoftJino: La reacción de los chicos en los MMA 2016 cuando ganaron 'album of the year' 

Fue su primer daesang 💜@BTS_twt https://t.co/k…","b""RT @SoftJino: La reacci\xc3\xb3n de los chicos en los MMA 2016 cuando ganaron 'album of the year' \n\nFue su primer daesang \xf0\x9f\x92\x9c@BTS_twt https://t.co/k\xe2\x80\xa6""","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SoftJino', 'name': 'ᴮᴱ gena⁷ 🐹🎄 prod. Jin', 'id': 1247042976758378497, 'id_str': '1247042976758378497', 'indices': [3, 12]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [116, 124]}], 'urls': []}",,es
1335125315970977792,2020-12-05 07:34:15,RT @jeonbubbles: BTS just keeps slaying every year 😌 https://t.co/13GNhmevgh,b'RT @jeonbubbles: BTS just keeps slaying every year \xf0\x9f\x98\x8c https://t.co/13GNhmevgh',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'jeonbubbles', 'name': 'kass⁷ 🍒', 'id': 818413704236515328, 'id_str': '818413704236515328', 'indices': [3, 15]}], 'urls': [], 'media': [{'id': 1335125157988368385, 'id_str': '1335125157988368385', 'indices': [53, 76], 'media_url': 'http://pbs.twimg.com/media/EodRQeSVgAEnPpY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EodRQeSVgAEnPpY.jpg', 'url': 'https://t.co/13GNhmevgh', 'display_url': 'pic.twitter.com/13GNhmevgh', 'expanded_url': 'https://twitter.com/jeonbubbles/status/1335125166007885824/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 650, 'h': 395, 'resize': 'fit'}, 'large': {'w': 650, 'h': 395, 'resize': 'fit'}, 'medium': {'w': 650, 'h': 395, 'resize': 'fit'}}, 'source_status_id': 1335125166007885824, 'source_status_id_str': '1335125166007885824', 'source_user_id': 818413704236515328, 'source_user_id_str': '818413704236515328'}]}",,en
1335124179260112896,2020-12-05 07:29:44,"RT @abiseokjinnie39: Estos ""grandes"" grupos de kpop no asisten a los espectáculos de premios porque saben que no tienen la oportunidad de g…","b'RT @abiseokjinnie39: Estos ""grandes"" grupos de kpop no asisten a los espect\xc3\xa1culos de premios porque saben que no tienen la oportunidad de g\xe2\x80\xa6'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'abiseokjinnie39', 'name': 'ᴮᴱ abi⁷ stream Abyss ʲⁱⁿⁱᵉ ᵈᵃʸ', 'id': 1290804832522117122, 'id_str': '1290804832522117122', 'indices': [3, 19]}], 'urls': []}",,es
1335122602478559234,2020-12-05 07:23:28,"@monipersona yess, I agree🥺","b'@monipersona yess, I agree\xf0\x9f\xa5\xba'","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'monipersona', 'name': 'fatima⁷', 'id': 859060200690548742, 'id_str': '859060200690548742', 'indices': [0, 12]}], 'urls': []}",,en
1335122127549186048,2020-12-05 07:21:35,RT @choi_bts2: MMA red carpet photo @BTS_twt https://t.co/zwcr87zOtX,b'RT @choi_bts2: MMA red carpet photo @BTS_twt https://t.co/zwcr87zOtX',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'choi_bts2', 'name': ""ᴮᴱSoo Choi⁷💜Grammy Nominated Artist's fan"", 'id': 953663868659798017, 'id_str': '953663868659798017', 'indices': [3, 13]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [36, 44]}], 'urls': [], 'media': [{'id': 1335120900681682944, 'id_str': '1335120900681682944', 'indices': [45, 68], 'media_url': 'http://pbs.twimg.com/media/EodNYqlU0AAsEPf.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EodNYqlU0AAsEPf.jpg', 'url': 'https://t.co/zwcr87zOtX', 'display_url': 'pic.twitter.com/zwcr87zOtX', 'expanded_url': 'https://twitter.com/choi_bts2/status/1335120906654425089/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 444, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 784, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 836, 'resize': 'fit'}}, 'source_status_id': 1335120906654425089, 'source_status_id_str': '1335120906654425089', 'source_user_id': 953663868659798017, 'source_user_id_str': '953663868659798017'}]}",,en
1335110143864758273,2020-12-05 06:33:58,cosas q no supero de bts parte 2 https://t.co/ncWyK37aLH,b'cosas q no supero de bts parte 2 https://t.co/ncWyK37aLH',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1335110136046579714, 'id_str': '1335110136046579714', 'indices': [33, 56], 'media_url': 'http://pbs.twimg.com/media/EodDmFMUcAI0wXU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EodDmFMUcAI0wXU.jpg', 'url': 'https://t.co/ncWyK37aLH', 'display_url': 'pic.twitter.com/ncWyK37aLH', 'expanded_url': 'https://twitter.com/veganoodlesoup/status/1335110143864758273/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 678, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 720, 'h': 722, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 722, 'resize': 'fit'}}}]}",,es
