id_str,created_at,full_text,full_text(utf-8),entities,geo,lang
1338736946894389249,2020-12-15 06:45:35,now who the fuck brought this back to my notifs https://t.co/j5BYYNB6Ny,b'now who the fuck brought this back to my notifs https://t.co/j5BYYNB6Ny',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/j5BYYNB6Ny', 'expanded_url': 'https://twitter.com/weasieyfilms/status/1243325875405242369', 'display_url': 'twitter.com/weasieyfilms/s…', 'indices': [48, 71]}]}",,en
1338607396160094208,2020-12-14 22:10:48,reply to this or perish  https://t.co/boBkVfCyvo,b'reply to this or perish  https://t.co/boBkVfCyvo',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1300404497747902464, 'id_str': '1300404497747902464', 'indices': [25, 48], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1300404497747902464/pu/img/t2QSW4qLb8Paa6m5.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1300404497747902464/pu/img/t2QSW4qLb8Paa6m5.jpg', 'url': 'https://t.co/boBkVfCyvo', 'display_url': 'pic.twitter.com/boBkVfCyvo', 'expanded_url': 'https://twitter.com/nephilimbarnes/status/1300404546070433793/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 400, 'resize': 'fit'}, 'small': {'w': 400, 'h': 400, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 400, 'resize': 'fit'}}, 'source_status_id': 1300404546070433793, 'source_status_id_str': '1300404546070433793', 'source_user_id': 1239121002216345605, 'source_user_id_str': '1239121002216345605'}]}",,en
1338595811005874176,2020-12-14 21:24:45,RT @weasIeyfilms: actually that is wrong. nobody can dislike james buchanan barnes,b'RT @weasIeyfilms: actually that is wrong. nobody can dislike james buchanan barnes',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'weasIeyfilms', 'name': 'herb RT PINNED', 'id': 1207933337047666689, 'id_str': '1207933337047666689', 'indices': [3, 16]}], 'urls': []}",,en
1338472535621419016,2020-12-14 13:14:54,actually that is wrong. nobody can dislike james buchanan barnes https://t.co/kWC6SrmtCm,b'actually that is wrong. nobody can dislike james buchanan barnes https://t.co/kWC6SrmtCm',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kWC6SrmtCm', 'expanded_url': 'https://twitter.com/julietteghafa/status/1338276475334766598', 'display_url': 'twitter.com/julietteghafa/…', 'indices': [65, 88]}]}",,en
1338402423862280192,2020-12-14 08:36:18,abed nadir https://t.co/6nUZ1bzRkK,b'abed nadir https://t.co/6nUZ1bzRkK',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6nUZ1bzRkK', 'expanded_url': 'https://twitter.com/foursmizzen/status/1337920010346434560', 'display_url': 'twitter.com/foursmizzen/st…', 'indices': [11, 34]}]}",,en
1338350970388901889,2020-12-14 05:11:51,RT @azumcne: SPARE 20 FOLLOWERS BEGS  https://t.co/eYNk5OLpHf,b'RT @azumcne: SPARE 20 FOLLOWERS BEGS  https://t.co/eYNk5OLpHf',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'azumcne', 'name': 'herb | support 📌', 'id': 1232202633177255936, 'id_str': '1232202633177255936', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1337532287013928960, 'id_str': '1337532287013928960', 'indices': [38, 61], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1337532287013928960/pu/img/RvVyyG6VykJOyop_.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1337532287013928960/pu/img/RvVyyG6VykJOyop_.jpg', 'url': 'https://t.co/eYNk5OLpHf', 'display_url': 'pic.twitter.com/eYNk5OLpHf', 'expanded_url': 'https://twitter.com/nephilimbarnes/status/1337532320169881601/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 436, 'h': 680, 'resize': 'fit'}, 'large': {'w': 484, 'h': 754, 'resize': 'fit'}, 'medium': {'w': 484, 'h': 754, 'resize': 'fit'}}, 'source_status_id': 1337532320169881601, 'source_status_id_str': '1337532320169881601', 'source_user_id': 1239121002216345605, 'source_user_id_str': '1239121002216345605'}]}",,en
1338349767563173889,2020-12-14 05:07:04,RT @azumcne: https://t.co/thZ5bUO3yY,b'RT @azumcne: https://t.co/thZ5bUO3yY',"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'azumcne', 'name': 'herb | support 📌', 'id': 1232202633177255936, 'id_str': '1232202633177255936', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338341396793548803, 'id_str': '1338341396793548803', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/media/EpK-aNgUYAM_Fsd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpK-aNgUYAM_Fsd.jpg', 'url': 'https://t.co/thZ5bUO3yY', 'display_url': 'pic.twitter.com/thZ5bUO3yY', 'expanded_url': 'https://twitter.com/azumcne/status/1338341400945913857/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 827, 'h': 1018, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 552, 'h': 680, 'resize': 'fit'}, 'large': {'w': 827, 'h': 1018, 'resize': 'fit'}}, 'source_status_id': 1338341400945913857, 'source_status_id_str': '1338341400945913857', 'source_user_id': 1232202633177255936, 'source_user_id_str': '1232202633177255936'}]}",,und
1338287351982772224,2020-12-14 00:59:03,good times https://t.co/Ikj3sAlTWq,b'good times https://t.co/Ikj3sAlTWq',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Ikj3sAlTWq', 'expanded_url': 'https://twitter.com/jarpad/status/350409161575641088', 'display_url': 'twitter.com/jarpad/status/…', 'indices': [11, 34]}]}",,en
1338246555531321344,2020-12-13 22:16:56,why do they all look like shaileen woodley https://t.co/DTXTk2T98I,b'why do they all look like shaileen woodley https://t.co/DTXTk2T98I',"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DTXTk2T98I', 'expanded_url': 'https://twitter.com/haimtheband/status/1338219049717620737', 'display_url': 'twitter.com/haimtheband/st…', 'indices': [43, 66]}]}",,en
1338106936097574914,2020-12-13 13:02:09,RT @azumcne: #taekook trending as it should because they are my best boys https://t.co/nlJyKOzCHQ,b'RT @azumcne: #taekook trending as it should because they are my best boys https://t.co/nlJyKOzCHQ',"{'hashtags': [{'text': 'taekook', 'indices': [13, 21]}], 'symbols': [], 'user_mentions': [{'screen_name': 'azumcne', 'name': 'herb loves kags | support 📌', 'id': 1232202633177255936, 'id_str': '1232202633177255936', 'indices': [3, 11]}], 'urls': [], 'media': [{'id': 1338098079598141445, 'id_str': '1338098079598141445', 'indices': [74, 97], 'media_url': 'http://pbs.twimg.com/media/EpHhHSUUYAUiWEj.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpHhHSUUYAUiWEj.jpg', 'url': 'https://t.co/nlJyKOzCHQ', 'display_url': 'pic.twitter.com/nlJyKOzCHQ', 'expanded_url': 'https://twitter.com/azumcne/status/1338098083586928642/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 370, 'h': 370, 'resize': 'fit'}, 'medium': {'w': 370, 'h': 370, 'resize': 'fit'}, 'small': {'w': 370, 'h': 370, 'resize': 'fit'}}, 'source_status_id': 1338098083586928642, 'source_status_id_str': '1338098083586928642', 'source_user_id': 1232202633177255936, 'source_user_id_str': '1232202633177255936'}]}",,en
