,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,{'urls': []},False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,Mon Dec 14 19:00:00 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,1338559383266086914,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,1338559383266086914,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,welcome to my world &lt;3 https://t.co/QXbHZss0ii,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338559378174210048, 'id_str': '1338559378174210048', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpOEqZbXcAASqTg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOEqZbXcAASqTg.jpg', 'url': 'https://t.co/QXbHZss0ii', 'display_url': 'pic.twitter.com/QXbHZss0ii', 'expanded_url': 'https://twitter.com/stwlinsxn/status/1338559383266086914/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 583, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1029, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 1065, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
extended_entities,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,"{'media': [{'id': 1338559378174210048, 'id_str': '1338559378174210048', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpOEqZbXcAASqTg.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOEqZbXcAASqTg.jpg', 'url': 'https://t.co/QXbHZss0ii', 'display_url': 'pic.twitter.com/QXbHZss0ii', 'expanded_url': 'https://twitter.com/stwlinsxn/status/1338559383266086914/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 583, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1029, 'resize': 'fit'}, 'large': {'w': 1242, 'h': 1065, 'resize': 'fit'}}}, {'id': 1338559378195181568, 'id_str': '1338559378195181568', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpOEqZgXcAAyALO.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOEqZgXcAAyALO.jpg', 'url': 'https://t.co/QXbHZss0ii', 'display_url': 'pic.twitter.com/QXbHZss0ii', 'expanded_url': 'https://twitter.com/stwlinsxn/status/1338559383266086914/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1440, 'h': 1296, 'resize': 'fit'}, 'small': {'w': 680, 'h': 612, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1080, 'resize': 'fit'}}}, {'id': 1338559378190950402, 'id_str': '1338559378190950402', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpOEqZfW4AIOnd7.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOEqZfW4AIOnd7.jpg', 'url': 'https://t.co/QXbHZss0ii', 'display_url': 'pic.twitter.com/QXbHZss0ii', 'expanded_url': 'https://twitter.com/stwlinsxn/status/1338559383266086914/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 270, 'h': 252, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 270, 'h': 252, 'resize': 'fit'}, 'large': {'w': 270, 'h': 252, 'resize': 'fit'}}}, {'id': 1338559378195148803, 'id_str': '1338559378195148803', 'indices': [26, 49], 'media_url': 'http://pbs.twimg.com/media/EpOEqZgW8AMos8G.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpOEqZgW8AMos8G.jpg', 'url': 'https://t.co/QXbHZss0ii', 'display_url': 'pic.twitter.com/QXbHZss0ii', 'expanded_url': 'https://twitter.com/stwlinsxn/status/1338559383266086914/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 344, 'h': 288, 'resize': 'fit'}, 'small': {'w': 344, 'h': 288, 'resize': 'fit'}, 'large': {'w': 344, 'h': 288, 'resize': 'fit'}}}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1287421031758561281,1287421031758561281,malu. 9¾,stwlinsxn,she/her ,,"...𝐲𝐨𝐮 𝐰𝐞𝐫𝐞 𝐦𝐲 𝐛𝐞𝐜𝐚𝐮𝐬𝐞"" @grungeinchainss | larry stylinson supremacy",,,False,191,334,0,Sun Jul 26 16:14:38 +0000 2020,566,,,False,False,1218,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_images/1338196037635346432/6fERmP7K_normal.jpg,https://pbs.twimg.com/profile_banners/1287421031758561281/1607885867,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
