,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,{'urls': []},False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,Wed Dec 16 08:06:12 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,1339119621245345798,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,1339119621245345798,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,"RT @Animated_Antic: Twenty years ago today, The Emperor's New Groove was released. Despite its troubled production, the film really ended u…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Animated_Antic', 'name': 'Animated Antic', 'id': 901950437124825088, 'id_str': '901950437124825088', 'indices': [3, 18]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1157909845774749696,1157909845774749696,CosmicGamer,GamerAlj,,,Hai I'm a Sanic Editor that has a Twitter for reasons I can't remember,,,False,28,50,1,Sun Aug 04 07:03:14 +0000 2019,5799,,,False,False,594,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_images/1337147366055374848/qkBFCWjL_normal.jpg,https://pbs.twimg.com/profile_banners/1157909845774749696/1607580505,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
