,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,"{'urls': [{'url': 'https://t.co/f49VYhTUwy', 'expanded_url': 'http://instagram.com/roddy.mbc', 'display_url': 'instagram.com/roddy.mbc', 'indices': [0, 23]}]}",False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,{'urls': []},False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,Wed Dec 16 08:32:09 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,1339126155153182720,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,1339126155153182720,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,Just Woke Up Smh 🤦🏾‍♂️,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2199244144,2199244144,$hotta,RoddyMbc,,,Allahu Akbar🤲🏾 | MBC,https://t.co/f49VYhTUwy,,False,1415,1158,4,Thu Nov 28 13:16:05 +0000 2013,10709,,,True,False,29633,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_images/1337414722375852032/9lQr3LYD_normal.jpg,https://pbs.twimg.com/profile_banners/2199244144/1596306111,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
