,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,{'urls': []},False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,Wed Dec 16 01:55:58 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
id,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,1339026452520562690,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,1339026452520562690,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
text,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,Getting coffee and D&amp;D books tomorrow 😎,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
entities,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
source,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id_str,960195515873943553,960195515873943553,The Numismatist,The_Librologist,She/Her,,🏳️‍⚧️ | Pfp by @PunchletsArt | Banner by @nyxlash | I like axolotls a lot,,,False,87,355,3,Sun Feb 04 16:57:05 +0000 2018,15294,,,False,False,5900,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_images/1327754059730784261/zxgG61wQ_normal.jpg,https://pbs.twimg.com/profile_banners/960195515873943553/1601700433,981CEB,000000,000000,000000,False,False,False,False,False,False,False,none
