,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,{'urls': []},False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,Wed Dec 16 01:21:05 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,1339017672755834880,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,1339017672755834880,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,@PhilipRucker @RoigFranzia @CarolLeonnig Didn’t Javanka just buy a fancy place on a private island around there? Ma… https://t.co/fhnAaOMXg9,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhilipRucker', 'name': 'Philip Rucker', 'id': 59331128, 'id_str': '59331128', 'indices': [0, 13]}, {'screen_name': 'RoigFranzia', 'name': 'Manuel Roig-Franzia', 'id': 371800458, 'id_str': '371800458', 'indices': [14, 26]}, {'screen_name': 'CarolLeonnig', 'name': 'Carol Leonnig', 'id': 108710418, 'id_str': '108710418', 'indices': [27, 40]}], 'urls': [{'url': 'https://t.co/fhnAaOMXg9', 'expanded_url': 'https://twitter.com/i/web/status/1339017672755834880', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,1339004464112541696,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,138758497,138758497,Regicida,RegiiMary,,,I block stupid.,,,False,74,397,1,Fri Apr 30 14:06:55 +0000 2010,6122,,,True,False,3615,,1339004464112541696,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_images/947630808440954882/rHBNcrTS_normal.jpg,https://pbs.twimg.com/profile_banners/138758497/1595197825,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
