,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,{'urls': []},False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,Wed Dec 16 06:33:10 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
id,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,1339096210821558274,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,1339096210821558274,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
text,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,"@Srasgon honestly though as far as hostess snacks go, twinkies are d tier. they have so many better choices.",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
entities,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Srasgon', 'name': 'Stacy Rasgon', 'id': 424021649, 'id_str': '424021649', 'indices': [0, 8]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
source,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,1339095980722049025,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id_str,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,1339095980722049025,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,1008901616534282240,1008901616534282240,grand theft computers: 2077,DrUnicornPhD,og west virginia,,chaotic dumbass. smooth gear apologist. cracker barrel expert. i taunt canada gooses. my opinions are the official opinions of my employer.,,,False,479,305,4,Tue Jun 19 02:37:44 +0000 2018,14979,,,False,False,4063,,1008901616534282240,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_images/1273643825811132416/WZdnBOAo_normal.jpg,https://pbs.twimg.com/profile_banners/1008901616534282240/1588958641,005EB8,000000,000000,000000,False,False,False,False,False,False,False,none
