,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,{'urls': []},False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,Wed Dec 16 02:45:28 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1339038906776309762,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1339038906776309762,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,@wheresmywigggg GOODBYE,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'wheresmywigggg', 'name': 'chriX', 'id': 1233011583430856704, 'id_str': '1233011583430856704', 'indices': [0, 15]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1339037959480365057,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1339037959480365057,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1233011583430856704,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,1233011583430856704,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,wheresmywigggg,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1097616804191494144,1097616804191494144,a,magdalenepop,United States,,fan account | ♌️ | formerly halcyonpop,,,False,238,383,4,Mon Feb 18 22:00:13 +0000 2019,2756,,,False,False,3251,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_images/1335837919911690240/dXuTpUqs_normal.jpg,https://pbs.twimg.com/profile_banners/1097616804191494144/1607323554,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
