,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,{'urls': []},False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,Wed Dec 16 08:24:01 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1339124108282327040,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1339124108282327040,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,@hoeybug wait why do you have 276 unread texts loey💀💀,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hoeybug', 'name': 'bambi', 'id': 1216673725657034754, 'id_str': '1216673725657034754', 'indices': [0, 8]}], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1339109565833547778,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1339109565833547778,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1216673725657034754,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,1216673725657034754,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,hoeybug,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,3593720780,3593720780,lex,officiallxs,,,she/her // 18,,,False,500,1314,10,Thu Sep 17 12:13:02 +0000 2015,89327,,,False,False,24149,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_images/1332969963133444098/jSKpMDNi_normal.jpg,https://pbs.twimg.com/profile_banners/3593720780/1607859161,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
