,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,"{'urls': [{'url': 'https://t.co/M6AL69kM41', 'expanded_url': 'https://sabotens.carrd.co/', 'display_url': 'sabotens.carrd.co', 'indices': [0, 23]}]}",False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
description,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,{'urls': []},False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,Wed Dec 16 04:14:12 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,1339061240170246144,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,1339061240170246144,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,Im gonna be honest hyunjin deserves the hit on his head https://t.co/O4uu4eeTFG,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/O4uu4eeTFG', 'expanded_url': 'https://twitter.com/infamyau/status/1339021650868756486', 'display_url': 'twitter.com/infamyau/statu…', 'indices': [56, 79]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,723964816130367488,723964816130367488,🐦,AceJeongin,ANYPRONOUNS 18,,#I_N: I’m soft just like a baby and bread dough!,https://t.co/M6AL69kM41,,False,123,120,4,Sat Apr 23 20:00:37 +0000 2016,4549,,,False,False,22150,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_images/1339017905166573572/JoWGqYmq_normal.jpg,https://pbs.twimg.com/profile_banners/723964816130367488/1608081735,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
