,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,"{'urls': [{'url': 'https://t.co/7FfYTL8cso', 'expanded_url': 'http://last.fm/user/sammyrayy', 'display_url': 'last.fm/user/sammyrayy', 'indices': [0, 23]}]}",False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,{'urls': []},False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,Wed Dec 16 02:35:32 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,1339036407428509696,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,1339036407428509696,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,NOT TAYLOR TALKING ABOUT THE DICTIONARY JOKE@(&amp;÷]÷?÷)?÷,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1164588820018450433,1164588820018450433,sammy ray ♡ evermore,peeinmysock,,,he/they ♡ happy holidays! ♡ #BlackLivesMatter,https://t.co/7FfYTL8cso,,False,512,778,3,Thu Aug 22 17:23:15 +0000 2019,7480,,,False,False,7661,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_images/1325818398706688001/_5_2q2Nj_normal.jpg,https://pbs.twimg.com/profile_banners/1164588820018450433/1607727147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
