,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,{'urls': []},False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,Wed Dec 16 03:41:15 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
id,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,1339052946626138113,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,1339052946626138113,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
text,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,@Chrispacman123 don’t like your own tweets or comments (i made this mistake once a long time ago bc i was used to r… https://t.co/ezVCPWgDwX,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
entities,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chrispacman123', 'name': 'Frosty ❄️Chrispacman1234', 'id': 1281337491497398275, 'id_str': '1281337491497398275', 'indices': [0, 15]}], 'urls': [{'url': 'https://t.co/ezVCPWgDwX', 'expanded_url': 'https://twitter.com/i/web/status/1339052946626138113', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
source,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,1339048364650979331,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,892771181576822786,892771181576822786,FireRabbit (dead hopefully),RealFireRabbit,meme hating minor,,"14, I don’t really care which pronouns/ priv is",,,False,75,331,2,Wed Aug 02 15:36:51 +0000 2017,2787,,,False,False,3783,,1339048364650979331,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_images/1332813643134750720/zQlmv6ZS_normal.jpg,https://pbs.twimg.com/profile_banners/892771181576822786/1579394758,ABB8C2,000000,000000,000000,False,True,False,False,False,False,False,none
