,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,"{'urls': [{'url': 'https://t.co/7LC8oRZWEq', 'expanded_url': 'http://chlo.xn--59g/', 'display_url': 'chlo.∞', 'indices': [0, 23]}]}",False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,{'urls': []},False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,Wed Dec 16 05:33:09 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,1339081106981785601,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,1339081106981785601,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,okay goodnight,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1219350684711170054,1219350684711170054,✜ berry's wife ◡̈,jinhosocks,berry ♡,,⠀⠀we gonna be happy | he / sun ✰,https://t.co/7LC8oRZWEq,,False,1414,1554,66,Mon Jan 20 20:07:28 +0000 2020,79183,,,False,False,44383,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_images/1339080679821283329/R0A9va0U_normal.jpg,https://pbs.twimg.com/profile_banners/1219350684711170054/1608096689,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
