,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,"{'urls': [{'url': 'https://t.co/n9W37JvXwh', 'expanded_url': 'https://blockgamestrong.tryme.com', 'display_url': 'blockgamestrong.tryme.com', 'indices': [0, 23]}]}",False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
description,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,{'urls': []},False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
created_at,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,Wed Dec 16 01:39:18 +0000 2020,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
id,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,1339022254756270080,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
id_str,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,1339022254756270080,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
text,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,RT @LeArielleSimone: what veggies y’all having for dinner?,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
truncated,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,False,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
entities,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LeArielleSimone', 'name': 'holistic mami✨', 'id': 28051524, 'id_str': '28051524', 'indices': [3, 19]}], 'urls': []}",False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
source,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
in_reply_to_status_id,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
in_reply_to_user_id,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
in_reply_to_screen_name,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
geo,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
coordinates,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
place,41493846,41493846,✊🏿BLACK LIVES MATTER✊🏿,ms_showers1990,"North Carolina, USA",,"FOLLOW FOR A FOLLOW!      
📌Block Game 💪🏾    
                       
➖Signed Managment ✍🏿♌",https://t.co/n9W37JvXwh,,False,952,830,0,Thu May 21 00:54:15 +0000 2009,33508,,,False,False,19341,,,False,False,False,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,False,http://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_images/1314577796258304001/vt_INdXV_normal.jpg,https://pbs.twimg.com/profile_banners/41493846/1606288287,088253,D3D2CF,E3E2DE,634047,True,True,False,False,False,False,False,none
