,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,{'urls': []},False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,Wed Dec 16 03:21:59 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,1339048099294162946,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,1339048099294162946,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,@PMercier31 KING! Can I get a follow?,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PMercier31', 'name': 'Patrick Mercier 🇨🇦', 'id': 564333060, 'id_str': '564333060', 'indices': [0, 11]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,1339047508228644864,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1266989983761645568,1266989983761645568,J0€¥GotThatJuego🇺🇸🇵🇷🤙🏽,JoeyTheGod3,,,"CEO: @jpv_productions. WWE, Disney. pro LGBT 🏳️‍🌈 Pro Choice, Multi-Racial and anti-problematic. 🖤🇵🇷 #Alexsha 🤙🏽 #BlackLivesMatter #BigDogStrong",,,False,342,3515,1,Sun May 31 07:08:59 +0000 2020,39007,,,True,False,6627,,1339047508228644864,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_images/1338095868445069312/wIp3dOCs_normal.jpg,https://pbs.twimg.com/profile_banners/1266989983761645568/1608083814,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
