,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,{'urls': []},False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,Wed Dec 16 01:21:07 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,1339017679403970562,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,1339017679403970562,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,@Capt_Aliyu Gombe arewa to the world😊❤️,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Capt_Aliyu', 'name': 'BOSSMAN', 'id': 930470154680586240, 'id_str': '930470154680586240', 'indices': [0, 11]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,1338621462018727948,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1229890848139153409,1229890848139153409,dieL❤,DielBen,Gombe State Nigeria.,,"My life's a temptation my temptation diel.....
Follow me I follow you just that simple😊!!!",,,False,36,194,0,Tue Feb 18 22:10:13 +0000 2020,94,,,False,False,46,,1338621462018727948,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_images/1339014573093957634/w467MbN2_normal.jpg,https://pbs.twimg.com/profile_banners/1229890848139153409/1599356651,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
