,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,"{'urls': [{'url': 'https://t.co/0gFrDFzqQ1', 'expanded_url': 'https://youtu.be/cNbuq07BA5E', 'display_url': 'youtu.be/cNbuq07BA5E', 'indices': [0, 23]}]}",False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,"{'urls': [{'url': 'https://t.co/VNnduEF9Ak', 'expanded_url': 'https://youtu.be/zuORjZMLCqo8S', 'display_url': 'youtu.be/zuORjZMLCqo8S', 'indices': [42, 65]}]}",False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,Wed Dec 16 02:13:57 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,1339030974772998146,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,1339030974772998146,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,I also am in desperate need of more tattoos 💉,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1323140761215475712,1323140761215475712,SMONE. One Syllable. Like Sloan.,ItsSmone,,,Wizzup👋🏾 I’m tryna be somebody’s musician!https://t.co/VNnduEF9Ak,https://t.co/0gFrDFzqQ1,,False,17,66,0,Mon Nov 02 05:52:08 +0000 2020,345,,,False,False,177,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_images/1323141084785090560/FX4fNM7v_normal.jpg,https://pbs.twimg.com/profile_banners/1323140761215475712/1604370915,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
