,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,{'urls': []},False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,Wed Dec 16 01:21:07 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1339017679424933894,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1339017679424933894,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,@padmessmile ohmygod i didnt realize the typo 😔😔,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'padmessmile', 'name': 'lindsey CANT BELIEVE HAYDEN IS EMPLOYED AGAIN', 'id': 1115721993804861442, 'id_str': '1115721993804861442', 'indices': [0, 12]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1338961871043485697,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1338961871043485697,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1277423638405357568,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,1277423638405357568,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,saunterbelow,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1277423638405357568,1277423638405357568,leaf 🌿,saunterbelow,they/them • 19,,Star Wars • Tolkien • Good Omens • Doctor Who • Star Trek • Merlin • BLM • ACAB • Eat the Rich,,,False,171,165,3,Mon Jun 29 02:08:34 +0000 2020,15744,,,False,False,7844,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_images/1324834904165810176/da1TPjJT_normal.jpg,https://pbs.twimg.com/profile_banners/1277423638405357568/1604700108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
