,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,"{'urls': [{'url': 'https://t.co/QcpNhWEtuw', 'expanded_url': 'https://www.taylorswift.com/', 'display_url': 'taylorswift.com', 'indices': [0, 23]}]}",False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
description,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,{'urls': []},False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,Wed Dec 16 02:54:52 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,1339041272175194112,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,1339041272175194112,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
text,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,I don’t want to start 2021 with having beef with anybody on this dumb bird app so if you hate me over something I did get over it❤️,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
entities,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
source,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,961761590155423745,961761590155423745,chef cale 🐍 |,calesreputation,Mason ♡ ,,nicole franzel | nikki bella | nany gonzalez | parvati shallow | ethan zohn | dani donato | bella wang | jesse larson | scottie salton,https://t.co/QcpNhWEtuw,,False,7035,6460,39,Fri Feb 09 00:40:06 +0000 2018,158729,,,False,False,17672,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_images/1339034088229892097/pWsSBZrF_normal.jpg,https://pbs.twimg.com/profile_banners/961761590155423745/1607902446,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
